,Equipment Number,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours),PrimaryMetric,Age
255,C1074,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2002,MANITOBA YD. (250 W. 70TH),5675.0,,336.0594411,57.54553,mileage,23
256,C1078,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2002,MANITOBA YD. (250 W. 70TH),5574.0,,64.85333294,28.43306,mileage,23
257,C1084,"TRUCK, SERVICE, WITH TOOLS, 3 TON",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,FREIGHTLINER,FL70,2004,MANITOBA YD. (250 W. 70TH),11845.0,,168.0316669,71.32469,mileage,21
258,C1087,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),7770.0,,336.3311106,26.91419,mileage,22
259,C1088,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),9183.0,,62.44722211,29.64028,mileage,22
260,C1089,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),8623.0,,69.29555541,38.48305,mileage,22
261,C1090,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),6119.0,,42.71944529,24.42585,mileage,22
262,C1091,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),6481.0,,153.3852779,46.8372,mileage,22
263,C1092,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2004,MANITOBA YD. (250 W. 70TH),7472.0,,132.7611103,30.35913,mileage,21
264,C1093,"TRUCK, SERVICE, 3 TON",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,DODGE,SPRINTER,2009,MANITOBA YD. (250 W. 70TH),12292.0,,158.6119461,37.00946,mileage,16
265,C1094,"TRUCK, SERVICE, 3 TON",hvy trk,Engineering Services,ENGINEERING WATERWORKS OPER.,DODGE,SPRINTER,2009,MANITOBA YD. (250 W. 70TH),3668.0,,328.1152749,62.78502,mileage,16
266,C1095,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),9192.0,,92.10972452,21.31277,mileage,22
267,C1097,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E450,2003,MANITOBA YD. (250 W. 70TH),7322.0,,150.021944,33.77254,mileage,22
268,C1099,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING WATERWORKS DESIGN,FORD,E250,2006,CAMBIE ST PARKADE,6679.0,,79.15472218,16.25638,mileage,19
269,C1103,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2000,MANITOBA YD. (250 W. 70TH),7194.0,,115.5661112,71.22027,mileage,25
270,C1105,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,RANGER,2011,NATIONAL YD. (701 NATIONAL),11975.0,,49.53305386,8.6611,mileage,14
271,C1110,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F150,2011,MANITOBA YD. (250 W. 70TH),21655.0,,274.0899997,26.04416,mileage,14
272,C1112,"TRUCK, PICKUP, LIGHT, HYBRID ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,GENERAL MOTORS,SILVERADO,2012,NATIONAL YD. (701 NATIONAL),0.0,,14.48305529,8.85082,mileage,13
273,C1116,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2008,NATIONAL YD. (701 NATIONAL),39434.0,1940.0,513.6449991,136.23618,mileage,17
274,C1117,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2011,NATIONAL YD. (701 NATIONAL),13104.0,705.0,145.9955557,26.43221,mileage,14
275,C1118,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,F250,2011,NATIONAL YD. (701 NATIONAL),13509.0,793.0,273.6688937,26.91777,mileage,14
276,C1120,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),3670.0,,17.0775001,7.20194,mileage,12
277,C1121,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2000,NATIONAL YD. (701 NATIONAL),7856.0,,139.7133323,43.79109,mileage,25
278,C1126,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2000,NATIONAL YD. (701 NATIONAL),4940.0,,576.9347239,83.96807,mileage,25
279,C1130,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2000,NATIONAL YD. (701 NATIONAL),9514.0,,506.4327779,206.48973,mileage,25
280,C1133,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2000,MANITOBA YD. (250 W. 70TH),10668.0,,163.9119455,60.24387,mileage,25
281,C1134,"TRUCK, CLASS 4, CREW CAB, DUMP BODY",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2013,VARIOUS ON SITE,3396.0,379.0,48.77722311,5.76,mileage,12
282,C1135,"TRUCK, CLASS 4, CREW CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2013,NATIONAL YD. (701 NATIONAL),1398.0,121.0,11.66472244,5.34028,mileage,12
283,C1138,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),7538.0,,243.4974986,40.36444,mileage,23
284,C1140,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),7387.0,,29.66611109,3.54695,mileage,12
285,C1141,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,MANITOBA YD. (250 W. 70TH),14706.0,,9.692222238,8.34249,mileage,12
286,C1142,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),5455.0,,59.58722311,7.27916,mileage,12
287,C1144,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),3667.0,,17.20194408,6.39415,mileage,12
288,C1145,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING STREETS OPER.,TOYOTA,TACOMA,2013,NATIONAL YD. (701 NATIONAL),5321.0,,25.1002785,3.54139,mileage,12
289,C1154,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,NATIONAL YD. (701 NATIONAL),9989.0,,189.1783308,79.5258,mileage,22
290,C1156,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,NATIONAL YD. (701 NATIONAL),10855.0,,273.3533341,95.96534,mileage,22
291,C1157,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,NATIONAL YD. (701 NATIONAL),7743.0,,387.6827813,75.10698,mileage,22
292,C1158,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,NATIONAL YD. (701 NATIONAL),6547.0,,110.1172218,49.15085,mileage,22
293,C1159,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,NATIONAL YD. (701 NATIONAL),6779.0,,309.6161095,51.22863,mileage,22
294,C1161,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,NATIONAL YD. (701 NATIONAL),7889.0,,360.7141652,73.45663,mileage,22
295,C1162,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,NATIONAL YD. (701 NATIONAL),7693.0,,399.9919466,73.6986,mileage,22
296,C1166,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,M2-106,2006,NATIONAL YD. (701 NATIONAL),10862.0,,209.5366654,81.18389,mileage,19
297,C1167,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,M2-106,2006,MANITOBA YD. (250 W. 70TH),11047.0,,480.6638893,89.59698,mileage,19
298,C1193,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2000,NATIONAL YD. (701 NATIONAL),3921.0,,575.5941679,84.50277,mileage,25
299,C1198,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,M2-106,2006,NATIONAL YD. (701 NATIONAL),6224.0,,359.517224,133.3275,mileage,19
300,C1200,"TRUCK, ASPHALT",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,M2-106,2006,NATIONAL YD. (701 NATIONAL),2463.0,,191.101943,34.78555,mileage,19
301,C1231,"TRUCK, DUMP, TANDEM AXLE",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FREIGHTLINER,M2-112,2007,MANITOBA YD. (250 W. 70TH),18981.0,,323.7949991,115.32527,mileage,18
302,C1267,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2000,NATIONAL YD. (701 NATIONAL),5188.0,,210.5713889,22.01168,mileage,25
303,C1268,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2000,NATIONAL YD. (701 NATIONAL),7318.0,,204.7227778,31.89557,mileage,25
304,C1269,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2000,NATIONAL YD. (701 NATIONAL),6384.0,,34.3455565,12.73054,mileage,25
305,C1270,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2000,MANITOBA YD. (250 W. 70TH),6797.0,,374.0022187,70.10387,mileage,25
306,C1271,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2000,NATIONAL YD. (701 NATIONAL),5340.0,,216.6788888,17.94802,mileage,25
307,C1272,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2000,MANITOBA YD. (250 W. 70TH),5557.0,,112.8541693,27.85167,mileage,25
308,C1274,"VAN, 1.5TON, CUBE BODY",light duty,Engineering Services,ENGINEERING STREETS OPER.,FORD,E450,2002,NATIONAL YD. (701 NATIONAL),1812.0,,376.9786106,37.60332,mileage,23
309,C1275,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),3965.0,,275.8758333,57.68971,mileage,23
310,C1276,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2002,MANITOBA YD. (250 W. 70TH),10777.0,,224.4197216,97.58361,mileage,23
311,C1277,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),6470.0,,94.32555604,17.33556,mileage,23
312,C1278,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),5794.0,,200.5755533,51.90388,mileage,23
313,C1280,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),5262.0,,360.7600014,49.20698,mileage,23
314,C1282,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),10136.0,,278.1569439,42.98666,mileage,23
315,C1284,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2003,NATIONAL YD. (701 NATIONAL),3905.0,,206.2977784,23.96361,mileage,22
316,C1285,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2003,MANITOBA YD. (250 W. 70TH),9140.0,,272.2483363,82.33003,mileage,22
317,C1287,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F350,2000,MANITOBA YD. (250 W. 70TH),10783.0,,183.8252814,87.72747,mileage,25
318,C1289,"TRUCK, CLASS 4, CREW CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2013,NATIONAL YD. (701 NATIONAL),35.0,0.0,4.965277672,4.91389,mileage,12
319,C1291,"TRUCK, CLASS 4, CREW CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2013,NATIONAL YD. (701 NATIONAL),1332.0,88.0,131.3586099,25.6925,mileage,12
320,C1294,"TRUCK, CLASS 4, CREW CAB, DUMP BODY",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2013,MANITOBA YD. (250 W. 70TH),14342.0,789.0,203.3119441,16.82196,mileage,12
321,C1297,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2009,MANITOBA YD. (250 W. 70TH),14566.0,626.0,614.3458346,74.30471,mileage,16
322,C1298,"TRUCK, CLASS 4, CREW CAB, DUMP BODY",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F450,2013,NATIONAL YD. (701 NATIONAL),4029.0,332.0,32.63527775,8.39556,mileage,12
323,C1327,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,FORD,F250,2002,KENT YARD (900 E. KENT),2066.0,,5.296944618,1.63334,mileage,23
324,C1443,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2000,NATIONAL YD. (701 NATIONAL),7657.0,,82.82999933,28.39248,mileage,25
325,C1617,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),9042.0,,50.24833345,21.19946,mileage,23
326,C1618,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS COLLECTIONS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),7364.0,,171.777779,45.22747,mileage,23
327,C1636,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING PARKING OPERATIONS MAINTENANCE,FORD,F350,2002,NATIONAL YD. (701 NATIONAL),2527.0,,85.55805455,13.33694,mileage,23
328,C1639,"TRUCK, ROADLINE MARKER",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,T8500,2009,NATIONAL YD. (701 NATIONAL),1490.0,,831.7533345,217.81419,mileage,16
329,C1647,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2002,NATIONAL YD. (701 NATIONAL),6282.0,,151.4580553,18.94417,mileage,23
330,C1653,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING TRAFFIC MANAGEMENT,FORD,RANGER,2002,CROSSROADS (507 W. BROADWAY),5704.0,,35.71888888,2.68806,mileage,23
331,C1657,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F250,2006,NATIONAL YD. (701 NATIONAL),8662.0,,157.6894454,59.64586,mileage,19
332,C1658,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2013,NATIONAL YD. (701 NATIONAL),15313.0,,44.26000071,8.02834,mileage,12
333,C1662,"TRUCK, FLATDECK, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F350,2000,NATIONAL YD. (701 NATIONAL),4572.0,,35.03694439,17.6914,mileage,25
334,C1666,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,FORD,WINDSTAR,2003,FIRE HALL # 1,2965.0,,43.16833305,13.10916,mileage,22
335,C1700,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2005,NATIONAL YD. (701 NATIONAL),7016.0,,424.6761126,79.28247,mileage,20
336,C1701,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2005,NATIONAL YD. (701 NATIONAL),4896.0,,299.5069438,69.10637,mileage,20
337,C1702,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F550,2009,NATIONAL YD. (701 NATIONAL),19686.0,,496.6191704,106.68725,mileage,16
338,C1703,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2005,NATIONAL YD. (701 NATIONAL),4084.0,,202.8411116,40.61778,mileage,20
339,C1706,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),6444.0,,22.49777758,13.59251,mileage,23
340,C1707,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,ASTRO,2005,NATIONAL YD. (701 NATIONAL),3886.0,,18.8994447,7.18251,mileage,20
341,C1715,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F150,2002,NATIONAL YD. (701 NATIONAL),4299.0,,50.96555573,10.93389,mileage,23
342,C1717,"TRUCK, FLATDECK, POLE CRANE, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F750,2001,NATIONAL YD. (701 NATIONAL),3596.0,,213.5024993,72.88833,mileage,24
343,C1721,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,ASTRO,2002,NATIONAL YD. (701 NATIONAL),8453.0,,87.43360984,28.02555,mileage,23
344,C1722,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106,2006,NATIONAL YD. (701 NATIONAL),4092.0,,372.6380541,64.26664,mileage,19
345,C1728,"TRUCK, AERIAL, 40 FT BOOM, HYBRID ELEC",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,M2-106 HYBRID,2010,NATIONAL YD. (701 NATIONAL),1376.0,,763.5922176,74.83946,mileage,15
346,C1735,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FREIGHTLINER,MT45,2008,NATIONAL YD. (701 NATIONAL),5745.0,,322.513055,91.74001,mileage,17
347,C1739,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,GENERAL MOTORS,ASTRO,2000,NATIONAL YD. (701 NATIONAL),1121.0,,70.25944465,9.87471,mileage,25
348,C1740,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,E150,2000,NATIONAL YD. (701 NATIONAL),991.0,,89.31861156,24.6244,mileage,25
349,C1743,"TRUCK, FLATDECK, LIGHT",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F350,2002,NATIONAL YD. (701 NATIONAL),1344.0,,28.7344439,3.94917,mileage,23
350,C1746,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,F450,2002,NATIONAL YD. (701 NATIONAL),4664.0,,251.7900032,43.52698,mileage,23
351,C1750,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING TRAFF & ELEC SRVCS,FORD,E150,2002,NATIONAL YD. (701 NATIONAL),7978.0,,30.99999964,18.05196,mileage,23
352,C1753,"TRUCK, DUMP, 1 YARD",hvy trk,Community Services Group,CEMETERY,FORD,F350,2000,MNTN VIEW CEMETERY(5455FRASER),3115.0,,161.3011098,61.08526,mileage,25
353,C1907,"TRUCK, PICKUP, COMPACT",light duty,Community Services Group,LICENSES AND INSPECTIONS CITY HALL,FORD,RANGER,2009,CAMBIE ST PARKADE,364.0,,24.67611111,9.37834,mileage,16
354,C1908,"TRUCK, PICKUP, COMPACT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,RANGER,2009,CITY VEH. PRKG. E. WING (10TH),5373.0,,62.14416759,33.56359,mileage,16
355,C1916,"VAN, PANEL, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,WINDSTAR,2003,CITY VEH. PRKG. E. WING (10TH),3601.0,,177.2769414,38.02667,mileage,22
356,C1918,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E150,2002,EVANS YARD (955 EVANS AVE.),7701.0,,30.54694444,11.5703,mileage,23
357,C1941,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,E150,2000,MANITOBA YD. (250 W. 70TH),5125.0,,223.2755547,7.06389,mileage,25
358,C1950,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,FORD,F250,2000,KENT YARD (900 E. KENT),2850.0,,140.3994479,12.84555,mileage,25
359,C1951,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SMALL EQUIP. POOL,FORD,F150,2009,MANITOBA YD. (250 W. 70TH),59592.0,,208.7802804,38.37191,mileage,16
360,C1953,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F250,2002,MANITOBA YD. (250 W. 70TH),5308.0,,125.8627781,27.82277,mileage,23
361,C1957,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,E250,2002,MANITOBA YD. (250 W. 70TH),6009.0,,126.5133343,23.8547,mileage,23
362,C1958,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F150,2002,MANITOBA YD. (250 W. 70TH),2589.0,,322.0791746,29.96556,mileage,23
363,C1963,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F750,2003,MANITOBA YD. (250 W. 70TH),3846.0,,87.70750052,31.21555,mileage,22
364,C1964,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING STREETS OPER.,FORD,F750,2003,MANITOBA YD. (250 W. 70TH),9005.0,,95.56527573,50.67891,mileage,22
365,C1965,"TRUCK, DUMP, 1 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F450,2002,MANITOBA YD. (250 W. 70TH),6876.0,,69.28055561,34.56778,mileage,23
366,C1966,"TRUCK, CLASS 7, REG CAB, DUMP BODY, SNOW EQUIPPED",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FREIGHTLINER,MM10604,2011,NATIONAL YD. (701 NATIONAL),3047.0,,233.2702783,37.81637,mileage,14
367,C1972,"VAN, MINI, CARGO",light duty,Engineering Services,ENGINEERING WATERWORKS DESIGN,FORD,FREESTAR,2006,CAMBIE ST PARKADE,14059.0,,155.598055,23.61499,mileage,19
368,C1974,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING KENT CONSTRUCTION S & S,FORD,TRANSIT CONNECT,2013,KENT YARD (900 E. KENT),11380.0,,25.51388872,12.67971,mileage,12
369,C1976,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SURVEY,FORD,E250,2003,CITY VEH. PRKG. E. WING (10TH),5415.0,,76.92222266,16.59614,mileage,22
370,C1978,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,SAFARI,2002,CROSSROADS (507 W. BROADWAY),4929.0,,48.50638959,21.07388,mileage,23
371,C1979,"VAN, PANEL, HEAVY",light duty,Engineering Services,ENGINEERING SURVEY,FORD,E250,2003,CITY VEH. PRKG. E. WING (10TH),2091.0,,28.75194502,11.99139,mileage,22
372,C1980,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,E150,2002,CITY VEH. PRKG. E. WING (10TH),7826.0,,204.7024927,37.89584,mileage,23
373,C1981,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,SAFARI,2002,CROSSROADS (507 W. BROADWAY),6243.0,,19.68722139,7.57388,mileage,23
374,C1982,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING STREETS STRUCTURES,FORD,F150,2002,CROSSROADS (507 W. BROADWAY),2873.0,,120.3102772,14.09389,mileage,23
375,C1984,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,E150,2002,CITY VEH. PRKG. E. WING (10TH),7099.0,,141.1647227,3.47555,mileage,23
376,C1985,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),6716.0,,19.27055573,6.05054,mileage,21
377,C1987,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),6003.0,,43.40555525,12.67472,mileage,21
378,C1988,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),751.0,,30.0849995,6.48612,mileage,21
379,C1990,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING STREETS DESIGN,GENERAL MOTORS,ASTRO,2004,CROSSROADS (507 W. BROADWAY),2931.0,,107.6027775,10.1014,mileage,21
