Equipment Number ,Equipment Class,Equipment Category,Service Group,Department,Make,Model,Year,Site,Mileage2024 (km),HourMeter2024 (hours),DowntimeHours2024 (hours),LaborHours2024 (hours)
B1796,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING WATERWORKS OPER.,FORD,E150,2003,MANITOBA YD. (250 W. 70TH),8616,NULL,N/A,N/A
B1856,"TRUCK, REFUSE, LITTER PICKUP",light duty,Engineering Services,ENGINEERING SANITATION OPER.,FORD,RANGER,2008,MANITOBA YD. (250 W. 70TH),16628,NULL,127.4375009,44.92391
B1883,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SANITATION UTILITY,FORD,F150,2003,MANITOBA YD. (250 W. 70TH),23211,NULL,158.4555544,44.00473
B1887,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SANITATION UTILITY,FORD,F150,2003,MANITOBA YD. (250 W. 70TH),16681,NULL,297.8311049,41.71696
B1894,"TRUCK, REFUSE, SIDE LOADER, 10 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION OPER.,FREIGHTLINER,MT55,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,782.637499,90.77057
B1895,"TRUCK, REFUSE, SIDE LOADER, 10 YARD",hvy trk,Engineering Services,ENGINEERING SANITATION OPER.,FREIGHTLINER,MT55,2014,MANITOBA YD. (250 W. 70TH),NULL,NULL,1065.460792,46.91891
B1909,"TRUCK, PICKUP, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,F150,2003,CITY VEH. PRKG. E. WING (10TH),4107,NULL,12.98638868,10.31945
B1910,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2004,VIP PARKING E. WING (YUKON),5511,NULL,178.145,6.70306
B1911,"VAN, PANEL, LIGHT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E150,2004,CITY VEH. PRKG. E. WING (10TH),4643,NULL,54.80805528,19.0636
B1912,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,CITY VEH. PRKG. E. WING (10TH),5398,NULL,N/A,N/A
B1913,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,VIP PARKING E. WING (YUKON),5299,NULL,64.57277799,17.45527
B1914,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),2688,NULL,25.6280551,5.60279
B1919,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2000,CAMBIE ST.STATION(2120 CAMBIE),2608,NULL,92.58416569,19.57693
B1927,"VAN, PANEL, LIGHT",light duty,City Manager's Office,CIVIC THEATRES,FORD,E150,2004,QUEEN ELIZABETH THEATRE,2713,NULL,60.55388832,8.06724
B1929,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,ENGINEERING EQUIPMENT CAR SHARE,FORD,WINDSTAR,2002,RICHARDS (814 RICHARDS),5048,NULL,41.00777721,17.80027
B1931,"TRUCK, CLASS 4, CREW CAB, DUMP BODY",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F450,2013,MANITOBA YD. (250 W. 70TH),3368,263,39.86777639,13.68223
B1932,"TRUCK, CLASS 4, CREW CAB, DUMP BODY",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F450,2013,MANITOBA YD. (250 W. 70TH),3116,137,17.24388897,5.22139
B1933,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F350,2002,MANITOBA YD. (250 W. 70TH),2760,NULL,99.0975008,31.00083
B1934,"VAN, 1TON, CUBE BODY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,E350,2006,MANITOBA YD. (250 W. 70TH),2666,NULL,385.099443,137.94252
B1936,"VAN, 1TON, CUBE BODY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,E350,2000,MANITOBA YD. (250 W. 70TH),5044,NULL,480.4508346,57.03082
B1942,"TRUCK, PICKUP, HEAVY",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,F250,2007,MANITOBA YD. (250 W. 70TH),5157,NULL,17.98972213,4.72473
B1955,"VAN, PANEL, COMPACT",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,FORD,WINDSTAR,2002,MANITOBA YD. (250 W. 70TH),8200,NULL,118.0888898,22.84804
B1967,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F750,2000,MANITOBA YD. (250 W. 70TH),5348,NULL,171.1911128,47.78143
B1968,"TRUCK, DUMP, 3 YARD",hvy trk,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,F750,2000,NATIONAL YD. (701 NATIONAL),4395,NULL,65.17861044,29.08779
B1973,"VAN, MINI, 7 PASSENGER",light duty,Engineering Services,ENGINEERING EQS LOANER POOL,FORD,WINDSTAR,2002,NATIONAL YD. (701 NATIONAL),8709,NULL,49.9547224,15.41168
B1995,"VAN, PANEL, LIGHT",light duty,Engineering Services,ENGINEERING SEWERS & DRAINAGE DESIGN,FORD,E150,2000,CITY VEH. PRKG. E. WING (10TH),5883,NULL,15.53805542,8.83806
B2121,"CONSTRUCTION, ROAD GRADER, 100-125 HP",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,JOHN DEERE,570B,1993,NATIONAL YD. (701 NATIONAL),NULL,0,215.241951,1.30472
B2122,"CONSTRUCTION, ROAD GRADER, 100-125 HP",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,JOHN DEERE,570B,1993,NATIONAL YD. (701 NATIONAL),NULL,137,62.92833349,6.41249
B2171,"CONSTRUCTION, LOADER BACKHOE, MEDIUM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,CASE,590SM-2,2008,NATIONAL YD. (701 NATIONAL),NULL,897,412.9544477,307.65008
B2202,"CONSTRUCTION, LOADER, SKID STEER",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,BOBCAT,S250K,2008,NATIONAL YD. (701 NATIONAL),NULL,628,105.0733313,43.93972
B2206,"PAVING, ROLLER VIBRATING/COMBO, 1-4.99 TON",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,AMMANN,AV 16K,2003,NATIONAL YD. (701 NATIONAL),NULL,208,151.5980542,107.75391
B2224,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2009,NATIONAL YD. (701 NATIONAL),NULL,5,22.05416632,7.59805
B2235,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,VARIOUS ON SITE,NULL,31,221.4113932,46.31583
B2236,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,VARIOUS ON SITE,NULL,18,63.57471991,14.02973
B2237,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,VARIOUS ON SITE,NULL,29,93.69666672,18.96862
B2238,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,VARIOUS ON SITE,NULL,28,180.6252775,12.32473
B2252,"PAVING, CRACK FILL MELTER, 250 GAL",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,CIMLINE,230DH,2004,NATIONAL YD. (701 NATIONAL),NULL,351,498.5305553,143.28889
B2301,"CLEANER, SEWER BUCKET DRAGGER, TRAILER, LARGE",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,SRECO,30HP/PI/H/D,2007,MANITOBA YD. (250 W. 70TH),NULL,0,59.99778008,5.94694
B2302,"CLEANER, SEWER BUCKET DRAGGER, TRAILER, LARGE",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,SRECO,30HP/PI/H/D,2007,MANITOBA YD. (250 W. 70TH),NULL,8,52.4066664,12.905
B2308,"PAVING, ROLLER VIBRATING, TANDEM, 2 TON",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,BOMAG,BW900-2,2007,NATIONAL YD. (701 NATIONAL),NULL,-105,127.4883326,59.79613
B2320,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,INGERSOL RAND,P185WIR,2004,MANITOBA YD. (250 W. 70TH),NULL,21,33.54277825,22.48973
B2323,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,INGERSOL RAND,P185WIR,2004,MANITOBA YD. (250 W. 70TH),NULL,56,128.2863908,38.75609
B2324,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,INGERSOL RAND,P185WIR,2004,MANITOBA YD. (250 W. 70TH),NULL,19,54.20083284,9.32749
B2328,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,INGERSOL RAND,P185WIR,2004,VARIOUS ON SITE,NULL,7,40.69638872,8.00306
B2360,"GENERATOR, TRAILER, EMERGENCY, DIESEL, 300-400 KW",hvy equip,Engineering Services,ENGINEERING SEWERS OPER.,STAMFORD,HCI534F,2007,VARIOUS ON SITE,NULL,42,29.14055538,23.04557
B2405,"CONSTRUCTION, LOADER, 4-6 YARD, RUBBER",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,HYUNDAI,760-7,2006,DELTA LANDFILL,NULL,1309,754.6394296,303.52947
B2415,"COMPOST, GRINDING PLANT",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,BANDIT,BEAST 3680,2007,DELTA LANDFILL,NULL,948,N/A,N/A
B2423,"CONSTRUCTION, LOADER, 4-6 YARD, RUBBER",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,VOLVO,L220F,2009,DELTA LANDFILL,NULL,1981,703.2413935,317.29525
B2489,"CONSTRUCTION, BULLDOZER, 190 HP",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,KOMATSU,D65PX,2008,DELTA LANDFILL,NULL,1472,N/A,N/A
B2499,"TARPING MACHINE, LANDFILL",hvy equip,Engineering Services,ENGINEERING TRANSFER AND LANDFILL OPER.,TARPOMATIC,40FTATM,1998,DELTA LANDFILL,NULL,68,164.718055,147.60247
B2505,"CART, ELEC, PERSONNEL",light duty,Engineering Services,ENGINEERING EQUIPMENT OPER.,YAMAHA,G16,2006,MANITOBA YD. (250 W. 70TH),NULL,4,220.990278,18.53695
B2705,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,NATIONAL YD. (701 NATIONAL),NULL,73,139.6225014,21.46332
B2706,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,NATIONAL YD. (701 NATIONAL),NULL,29,375.655549,20.12502
B2707,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,NATIONAL YD. (701 NATIONAL),NULL,83,205.8208244,13.87669
B2708,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,NATIONAL YD. (701 NATIONAL),NULL,57,46.40888882,13.21444
B2709,"COMPRESSOR, TRAILER, 185 CFM",hvy equip,Engineering Services,ENGINEERING STREETS OPER.,INGERSOL RAND,P185WIR,2004,NATIONAL YD. (701 NATIONAL),NULL,57,167.4958342,34.9022
B5339,"VAN, MINI, CARGO",light duty,Community Services Group,VANCOUVER ANIMAL CONTROL,FORD,TRANSIT CONNECT,2010,POUND (1280 RAYMUR),11143,NULL,103.9974991,28.67584
B5343,"TRUCK, PICKUP, COMPACT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,RANGER X/C,2010,STANLEY PARK SERVICE YD - DOWNTOWN,4164,NULL,N/A,N/A
B5374,"VAN, PANEL, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,TRANSIT CONNECT,2012,EVANS YARD (955 EVANS AVE.),8108,NULL,12.44527769,2.98139
B5381,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,E350,2012,THUNDERBIRD CC (2311 CASSIAR),2274,NULL,75.30472279,8.12804
B5382,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,E350,2011,RAY-CAM CC (920 E. HASTINGS),761,NULL,12.64916626,10.08721
B5385,"TRUCK, FLATDECK, LIGHT",hvy trk,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,HINO,<UNDER STUDY>,2011,EVANS YARD (955 EVANS AVE.),8643,NULL,14.26305532,5.23056
B5406,"TRUCK, PICKUP, COMPACT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,RANGER,2011,EVANS YARD (955 EVANS AVE.),40661,NULL,59.92416668,27.93529
B5430,"BUS, 23 PASSENGER OR MORE",hvy trk,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,BUS,2011,CHAMPLAIN PARK (3350 MAQUINNA),0,NULL,93.87861085,9.42862
B5456,"TRUCK, PICKUP, COMPACT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,RANGER,2011,EVANS YARD (955 EVANS AVE.),13409,NULL,48.96305424,6.67167
B5463,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E350,2010,EVANS YARD (955 EVANS AVE.),2359,NULL,4.715833664,2.02611
B5480,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2015,EVANS YARD (955 EVANS AVE.),NULL,NULL,109.7777796,0.495
B5486,"TRUCK, FLATDECK, LIGHT",hvy trk,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,HINO,<UNDER STUDY>,2015,EVANS YARD (955 EVANS AVE.),NULL,NULL,N/A,N/A
B5496,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,E350,2012,RAY-CAM CC (920 E. HASTINGS),7126,NULL,183.7144448,10.41417
B5502,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD STANLEY DISTRICT,GMC,<UNDER STUDY>,2011,SUNSET NURSERY (290 E. 51ST),12497,NULL,5.303611279,2.11833
B5519,"VAN, PANEL, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,E250,2011,EVANS YARD (955 EVANS AVE.),9394,NULL,N/A,N/A
B5523,"TRUCK, PICKUP, COMPACT",light duty,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,RANGER,2009,JERICHO WRKS YD(N.FT.DISCOVRY),9192,NULL,2.602222204,1.48583
B5524,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F250,2011,JERICHO WRKS YD(N.FT.DISCOVRY),2618,NULL,93.77222443,34.89833
B5585,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,NISSAN,<UNDER STUDY>,2012,EVANS YARD (955 EVANS AVE.),4365,NULL,N/A,N/A
B5768,"TRUCK, PICKUP, COMPACT",light duty,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,RANGER,2011,SUNSET NURSERY (290 E. 51ST),3504,NULL,N/A,N/A
B7000,"TURF, RAKE, SANDTRAP, RIDE-ON",hvy equip,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,TORO,8880,1989,FRASERVIEW GC (7800 VIVIAN),NULL,22,12.41888881,0.5
B70000,"BRUSH CHIPPER, TRAILER",hvy equip,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,VERMEER,BC600XL,2008,SUNSET NURSERY (290 E. 51ST),NULL,0,54.55055523,28.97972
B7311,"BUS, 23 PASSENGER OR MORE",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,BUS,2008,EVANS YARD (955 EVANS AVE.),3898,NULL,153.955277,32.96523
B7312,"VAN, PASSENGER, 10+ PASSENGER",light duty,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,E350,1998,WEST PT GREY COMMUNITY CENTER (4397 W.2ND),0,NULL,159.1133335,24.37721
B7316,"VAN, PANEL, HEAVY",light duty,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,E350,2000,KERRISDALE CC (5851 W.BLVD.),0,NULL,23.33055544,6.71389
B7521,"TRUCK, PICKUP, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,TOYOTA,TACOMA,2013,EVANS YARD (955 EVANS AVE.),10877,NULL,6.874722004,3.09555
B7522,"TRUCK, PICKUP, COMPACT",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,RANGER,2011,EVANS YARD (955 EVANS AVE.),9934,NULL,14.84722245,6.71945
B7525,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,MITSUBISHI,I MIEV,2012,EVANS YARD (955 EVANS AVE.),9986,NULL,25.16944402,0.57944
B7528,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,MITSUBISHI,I MIEV,2013,EVANS YARD (955 EVANS AVE.),6793,NULL,34.06833363,0.305
B7532,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2012,EVANS YARD (955 EVANS AVE.),7362,230,142.5499986,8.92861
B7536,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,F250,2012,JERICHO WRKS YD(N.FT.DISCOVRY),4542,268,63.00222409,3.80999
B7545,"TRUCK, PICKUP, COMPACT",light duty,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,FORD,RANGER,2004,JERICHO WRKS YD(N.FT.DISCOVRY),4893,NULL,42.94555604,10.85806
B7549,"TRUCK, PICKUP, COMPACT",light duty,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,RANGER,2004,QUEEN ELIZABETH PARK,3509,NULL,86.76916777,18.95141
B7551,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),11274,NULL,218.968056,22.19666
B7552,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),10063,NULL,35.98888886,15.40527
B7553,"TRUCK, PICKUP, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,F250,2003,EVANS YARD (955 EVANS AVE.),13702,NULL,140.7347248,26.56862
B7554,"TRUCK, PICKUP, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F150,2003,EVANS YARD (955 EVANS AVE.),8754,NULL,81.40500093,7.32918
B7561,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F450,2002,SUNSET NURSERY (290 E. 51ST),8965,NULL,36.55166638,29.95745
B7562,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F450,2002,SUNSET NURSERY (290 E. 51ST),3622,NULL,331.8519447,85.85552
B7563,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F450,2002,SUNSET NURSERY (290 E. 51ST),11050,NULL,97.43860555,37.58444
B7564,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F450,2002,SUNSET NURSERY (290 E. 51ST),7274,NULL,206.3705556,62.22918
B7565,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F350,2002,SUNSET NURSERY (290 E. 51ST),10019,NULL,58.30250168,25.3325
B7566,"TRUCK, FLATDECK, LIGHT",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F350,2002,SUNSET NURSERY (290 E. 51ST),8389,NULL,106.3163885,42.0936
B7570,"TRUCK, PICKUP, HEAVY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,F250,2012,EVANS YARD (955 EVANS AVE.),8944,580,312.1880512,16.00831
B7587,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,MITSUBISHI,I MIEV,2013,EVANS YARD (955 EVANS AVE.),NULL,NULL,N/A,N/A
B7617,"VAN, PANEL, LIGHT",light duty,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,E150,2002,STANLEY PARK SERVICE YD.,13169,NULL,116.6822222,38.67666
B7619,"VAN, PANEL, LIGHT",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,E150,2004,VANCITY BUILDING (515 W. 10th),2545,NULL,66.08972263,11.15444
B7623,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),3743,NULL,182.4588895,26.51613
B7624,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),2787,NULL,29.66638899,14.62223
B7626,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E250,2003,EVANS YARD (955 EVANS AVE.),5220,NULL,83.14722109,16.77166
B7635,"VAN, PANEL, HEAVY",light duty,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,E350,2002,EVANS YARD (955 EVANS AVE.),9974,NULL,41.59694386,13.69053
B7639,"TRUCK, SERVICE, 1.5 TON",hvy trk,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,GENERAL MOTORS,GRUMMAN,2002,EVANS YARD (955 EVANS AVE.),18435,NULL,281.5933354,39.71833
B7642,"VAN, 1TON, CUBE BODY",light duty,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,FORD,E350,2000,EVANS YARD (955 EVANS AVE.),4822,NULL,52.52138948,11.62807
B7643,"TRUCK, AERIAL, 34 FT BOOM",hvy trk,Corporate Services Group,REAL ESTATE & FACILITIES MANAGEMENT,FORD,F450,2002,EVANS YARD (955 EVANS AVE.),3653,NULL,44.9677785,4.27416
B7650,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD STANLEY DISTRICT,FORD,F450,2002,STANLEY PARK SERVICE YD.,13675,NULL,104.9638897,44.01667
B7652,"TRUCK, DUMP, 1 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F450,2003,EVANS YARD (955 EVANS AVE.),5342,NULL,414.7802786,49.88281
B7680,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F750,2002,SUNSET NURSERY (290 E. 51ST),4792,NULL,130.4922217,73.29611
B7681,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F750,2002,SUNSET NURSERY (290 E. 51ST),5264,NULL,255.1983321,41.45111
B7684,"TRUCK, DUMP, 4-7.5 YARD",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,FORD,F750,2002,SUNSET NURSERY (290 E. 51ST),9446,NULL,74.80000055,32.42863
B7686,"TRUCK, AERIAL, 50 FT PLUS BOOM",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,INTERNATIONAL,4700,2002,EVANS YARD (955 EVANS AVE.),1709,NULL,241.3513879,67.70166
B7687,"TRUCK, AERIAL, 50 FT PLUS BOOM",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,INTERNATIONAL,4700,2002,SUNSET NURSERY (290 E. 51ST),4805,NULL,462.5811077,152.20393
B7689,"TRUCK, AERIAL, 50 FT PLUS BOOM",hvy trk,Parks & Recreation,PARK BOARD QUEEN ELIZABETH DISTRICT,INTERNATIONAL,4700,2002,SUNSET NURSERY (290 E. 51ST),3116,NULL,252.013613,68.7994
B7787,"PAVING, ROLLER VIBRATING, TANDEM, 2 TON",hvy equip,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,WACKER,RD11A,2002,EVANS YARD (955 EVANS AVE.),NULL,5,91.08527756,20.88
B7844,"TURF, MOWER, GREENS RIDING",hvy equip,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,TORO,3250D,2006,FRASERVIEW GC (7800 VIVIAN),NULL,459,N/A,N/A
B7847,"TURF, RAKE, SANDTRAP, RIDE-ON",hvy equip,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,TORO,5020,2004,LANGARA GC (290 W. 49TH),NULL,335,49.02083196,37.23333
B7900,"FORKLIFT, LIGHT",hvy equip,Parks & Recreation,PARK BOARD PLANNING AND OPERATIONS,TOYOTA,7FGU25,2004,EVANS YARD (955 EVANS AVE.),NULL,0,96.81527794,3.82389
B7988,"CONSTRUCTION, LOADER, 1/2 YARD, RUBBER",hvy equip,Parks & Recreation,PARK BOARD VANCOUVER EAST DISTRICT,KUBOTA,R-410,1990,SUNSET NURSERY (290 E. 51ST),NULL,92,N/A,N/A
C0120,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING SOLID WASTE MNGMNT,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),4967,NULL,48.37833405,13.63918
C0127,"AUTO, PASSENGER, MICRO COMPACT",light duty,Engineering Services,ENGINEERING WATERWORKS DESIGN,SMART,FORTWO COUPE,2005,CROSSROADS (507 W. BROADWAY),1802,NULL,25.15888834,4.75555
C0139,"AUTO, PASSENGER, SUB-COMPACT, ELEC",light duty,Engineering Services,ENGINEERING STREETS OPER.,MITSUBISHI,I MIEV,2013,NATIONAL YD. (701 NATIONAL),0,NULL,N/A,N/A
C0144,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING SEWERS OPER.,FORD,FOCUS,2004,MANITOBA YD. (250 W. 70TH),9368,NULL,16.22611117,12.79917
C0145,"AUTO, PASSENGER, COMPACT",light duty,Engineering Services,ENGINEERING PROJECTS,FORD,FOCUS,2002,CROSSROADS (507 W. BROADWAY),4547,NULL,62.82472277,14.75915
